,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
59M,59M,NA,59M,NA,NA,NA,59M,NA,NA,59M,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,Ovary,NA,NA,ovary,NA,NA,NA,NA,ovary,NA,NA,NA,NA,NA
A1207,A1207,NA,A1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
ACC-MESO-1,ACC-MESO-1,NA,ACC-MESO-1,NA,NA,NA,NA,NA,NA,ACC-MESO-1,NA,NA,ACCMESO1,NA,NA,NA,pleura,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,pleura,pleura,pleura,NA,NA,ACCMESO1,pleura
ACCS,ACCS,NA,ACCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA
Alexander cells,Alexander cells,NA,Alexander cells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA
ALL-SIL,ALL-SIL,NA,ALL-SIL,NA,NA,NA,NA,NA,ALL-SIL,ALL-SIL,ALL-SIL,NA,ALLSIL,NA,ALL-SIL,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
AMO-1,AMO-1,NA,AMO-1,NA,NA,NA,AMO-1,AMO1,AMO-1,AMO-1,AMO-1,NA,AMO1,AMO-1,AMO-1,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
AZ-521,AZ-521,NA,AZ-521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,stomach,NA,NA,NA,NA,NA
BC-3C,BC-3C,NA,BC-3C,NA,NA,NA,NA,NA,NA,BC-3C,NA,NA,BC3C,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,BC3C,urinary_tract
BCP-1,BCP-1,NA,BCP-1,NA,NA,NA,NA,NA,NA,BCP-1,NA,NA,BCP1,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
BDCM,BDCM,NA,BDCM,BDCM,NA,NA,NA,NA,NA,BDCM,NA,NA,BDCM,NA,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
BGC-823,BGC-823,NA,BGC-823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA
BICR 16,BICR 16,NA,BICR 16,NA,NA,NA,NA,NA,NA,BICR_16,NA,NA,BICR16,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR16,upper_aerodigestive_tract
BICR 18,BICR 18,NA,BICR 18,NA,NA,NA,NA,NA,NA,BICR_18,NA,NA,BICR18,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR18,upper_aerodigestive_tract
BICR 22,BICR 22,NA,BICR 22,NA,NA,NA,BICR 22,NA,BICR22,BICR_22,BICR22,NA,BICR22,NA,BICR22,NA,upper_aerodigestive_tract,NA,NA,NA,Tongue,NA,Head & Neck,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,BICR22,upper_aerodigestive_tract
BICR 31,BICR 31,NA,BICR 31,NA,NA,NA,BICR 31,NA,BICR31,BICR_31,BICR31,NA,BICR31,NA,BICR31,NA,upper_aerodigestive_tract,NA,NA,NA,Tongue,NA,Head & Neck,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,BICR31,upper_aerodigestive_tract
BICR 56,BICR 56,NA,BICR 56,NA,NA,NA,NA,NA,NA,BICR_56,NA,NA,BICR56,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR56,upper_aerodigestive_tract
BICR 6,BICR 6,NA,BICR 6,NA,NA,NA,NA,NA,NA,BICR_6,NA,NA,BICR6,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR6,upper_aerodigestive_tract
BJ hTERT,BJ hTERT,NA,BJ hTERT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
BT-483,BT-483,NA,BT-483,NA,NA,BT483,BT-483,NA,BT-483,BT-483,BT-483,bt483,NA,NA,BT-483,NA,breast,NA,NA,breast,Breast,NA,Breast,breast,NA,NA,breast,breast,breast,NA,NA,breast,NA,NA
CADO-ES1,CADO-ES1,NA,CADO-ES1,NA,NA,NA,NA,NA,CADO-ES1,CADO-ES1,CADO-ES1,NA,CADOES1,NA,CADO-ES1,NA,bone,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,bone,bone,bone,NA,bone,NA,NA
Caki-2,Caki-2,NA,Caki-2,CAKI2,NA,NA,Caki-2,NA,NA,Caki-2,NA,NA,CAKI2,Caki-2,NA,NA,kidney,kidney,NA,NA,Kidney,NA,NA,kidney,NA,NA,NA,kidney,kidney,kidney,Kidney,NA,CAKI2,kidney
CAL-29,CAL-29,NA,CAL-29,NA,NA,NA,NA,NA,CAL-29,CAL-29,CAL-29,NA,CAL29,NA,CAL-29,NA,urinary_tract,NA,NA,NA,NA,NA,Bladder,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,NA,NA
CAL-78,CAL-78,NA,CAL-78,NA,NA,NA,NA,NA,CAL-78,CAL-78,CAL-78,NA,CAL78,NA,CAL-78,NA,bone,NA,NA,NA,NA,NA,Bone,soft_tissue,NA,NA,NA,soft_tissue,soft_tissue,bone,NA,soft_tissue,CAL78,bone
CCK-81,CCK-81,NA,CCK-81,NA,NA,NA,NA,NA,CCK-81,CCK-81,CCK-81,NA,CCK81,NA,CCK-81,NA,large_intestine,NA,NA,NA,NA,NA,Intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine,NA,NA
CH-157MN,CH-157MN,NA,CH-157MN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
CI-1,CI-1,NA,CI-1,NA,NA,NA,CI-1,NA,NA,CI-1,NA,NA,CI1,CI-1,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Lymph Node,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA
CJM,CJM,NA,CJM,NA,NA,NA,NA,NA,NA,CJM,NA,NA,CJM,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,skin,skin,skin,NA,NA,CJM,skin
CL-11,CL-11,NA,CL-11,NA,NA,NA,CL-11,NA,CL-11,CL-11,CL-11,NA,CL11,NA,CL-11,NA,large_intestine,NA,NA,NA,Colon,NA,Intestine,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,NA,large_intestine,CL11,large_intestine
CL-14,CL-14,NA,CL-14,NA,NA,NA,NA,NA,NA,CL-14,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA
CL-34,CL-34,NA,CL-34,NA,NA,NA,CL-34,CL34,CL-34,CL-34,NA,NA,CL34,NA,CL-34,NA,large_intestine,NA,NA,NA,Colon,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,NA,large_intestine,CL34,large_intestine
CL-40,CL-40,NA,CL-40,NA,NA,NA,CL-40,CL40,CL-40,CL-40,CL-40,NA,NA,NA,CL-40,NA,large_intestine,NA,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,NA,NA,NA,NA,large_intestine,NA,NA,large_intestine,NA,NA
CMK-11-5,CMK-11-5,NA,CMK-11-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
CMK-86,CMK-86,NA,CMK-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
COLO 201,COLO 201,NA,COLO 201,COLO201,NA,NA,COLO 201,NA,NA,COLO_201,NA,NA,COLO201,COLO 201,NA,NA,large_intestine,colon,NA,NA,Colon,NA,NA,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,Colon,NA,NA,NA
COLO 775,COLO 775,NA,COLO 775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
COLO-677,COLO-677,NA,COLO-677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
COLO-699,COLO-699,NA,COLO-699,NA,NA,NA,COLO 699,COLO699,NA,NA,NA,NA,COLO699,NA,NA,NA,NA,NA,NA,NA,Lung,LUNG,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,COLO699,NA
COLO-704,COLO-704,NA,COLO-704,COLO704,NA,NA,COLO-704,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,ovary,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,ovary,ovary,NA,NA,NA,NA,NA
COLO-783,COLO-783,NA,COLO-783,NA,NA,NA,COLO-783,NA,COLO-783,COLO-783,COLO-783,NA,NA,NA,COLO-783,NA,skin,NA,NA,NA,Skin,NA,Skin,skin,NA,NA,NA,NA,skin,NA,NA,skin,COLO783,skin
COLO-818,COLO-818,NA,COLO-818,NA,NA,NA,COLO-818,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
COLO-849,COLO-849,NA,COLO-849,NA,NA,NA,COLO 849,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,skin,NA,NA,NA,NA,NA
COR-L24,COR-L24,NA,COR-L24,NA,NA,NA,NA,NA,NA,COR-L24,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
COR-L311,COR-L311,NA,COR-L311,NA,NA,NA,NA,NA,COR-L311,COR-L311,COR-L311,NA,NA,NA,COR-L311,NA,lung,NA,NA,NA,NA,NA,Lung,lung,NA,NA,NA,lung,lung,NA,NA,lung,NA,NA
COR-L47,COR-L47,NA,COR-L47,NA,NA,NA,COR-L47,NA,NA,COR-L47,NA,NA,CORL47,NA,NA,NA,lung,NA,NA,NA,Lung,NA,NA,lung,NA,NA,NA,lung,lung,lung,NA,NA,NA,NA
COR-L95,COR-L95,NA,COR-L95,NA,NA,NA,NA,NA,COR-L95,COR-L95,COR-L95,NA,CORL95,NA,COR-L95,NA,lung,NA,NA,NA,NA,NA,Lung,lung,NA,NA,NA,NA,lung,lung,NA,lung,NA,NA
COV318,COV318,NA,COV318,NA,NA,NA,COV318,COV318,NA,COV318,NA,NA,NA,COV318,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,NA,ovary,NA,Ovary,NA,COV318,ovary
COV362,COV362,NA,COV362,NA,NA,NA,COV362,COV362,NA,COV362,NA,NA,COV362,NA,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,NA,ovary,ovary,NA,NA,COV362,ovary
COV434,COV434,NA,COV434,NA,NA,NA,COV434,COV434,NA,COV434,NA,NA,COV434,NA,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,ovary,ovary,ovary,NA,NA,COV434,ovary
COV504,COV504,NA,COV504,NA,NA,NA,COV504,NA,NA,NA,NA,NA,NA,COV504,NA,NA,ovary,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,ovary,NA,Ovary,NA,NA,NA
COV644,COV644,NA,COV644,NA,NA,NA,COV644,COV644,NA,COV644,NA,NA,COV644,NA,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,NA,ovary,ovary,NA,NA,COV644,ovary
D341 Med,D341 Med,NA,D341 Med,D341MED,NA,NA,NA,NA,NA,D341_Med,NA,NA,NA,NA,NA,NA,central_nervous_system,brain,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
DAN-G,DAN-G,NA,DAN-G,NA,NA,NA,DAN-G,NA,DAN-G,DAN-G,DAN-G,NA,DANG,NA,DAN-G,NA,pancreas,NA,NA,NA,Pancreas,NA,Pancreas,pancreas,NA,NA,NA,pancreas,pancreas,pancreas,NA,pancreas,DANG,pancreas
DFCI024,DFCI024,NA,DFCI024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
DLD-1,DLD-1,NA,DLD-1,DLD1,NA,NA,DLD-1,DLD1,NA,NA,NA,NA,DLD1,NA,NA,NA,large_intestine,colon,NA,NA,Colon,LARGE_INTESTINE,NA,NA,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA,DLD1,large_intestine
DM-3,DM-3,NA,DM-3,NA,NA,NA,NA,NA,NA,DM-3,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,NA,pleura,NA,NA,NA,DM3,pleura
DMS 454,DMS 454,NA,DMS 454,NA,NA,NA,DMS 454,NA,NA,DMS_454,NA,NA,DMS454,NA,NA,NA,lung,NA,NA,NA,Lung,NA,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA
DND-41,DND-41,NA,DND-41,NA,NA,NA,NA,NA,DND-41,DND-41,NA,NA,DND41,NA,DND-41,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
DOV13,DOV13,NA,DOV13,NA,NA,NA,NA,NA,DOV13,NA,NA,NA,DOV13,NA,DOV13,NA,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,NA,NA,ovary,NA,NA,ovary,NA,NA
EB1,EB1,NA,EB1,EB1,NA,NA,EB1,NA,NA,EB1,NA,NA,EB1,EB1,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA
EBC-1,EBC-1,NA,EBC-1,NA,NA,NA,EBC-1,EBC1,EBC-1,EBC-1,EBC-1,NA,EBC1,NA,EBC-1,NA,lung,NA,NA,NA,Lung,LUNG,Lung:NSCLC,lung,NA,NA,NA,lung,lung,lung,NA,lung,EBC1,lung
EFM-192A,EFM-192A,NA,EFM-192A,NA,NA,EFM192A,EFM-192A,NA,EFM-192A,EFM-192A,EFM-192A,efm192a,EFM192A,NA,EFM-192A,NA,breast,NA,NA,breast,Breast,NA,Breast,breast,NA,NA,breast,breast,breast,breast,NA,breast,EFM192A,breast
EJM,EJM,NA,EJM,NA,NA,NA,EJM,EJM,EJM,EJM,EJM,NA,EJM,NA,EJM,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
EN,EN,NA,EN,NA,NA,NA,NA,NA,EN,EN,EN,NA,EN,NA,EN,NA,endometrium,NA,NA,NA,NA,NA,Uterus,endometrium,NA,NA,NA,endometrium,endometrium,endometrium,NA,endometrium,NA,NA
ES-2,ES-2,NA,ES-2,ES2,NA,NA,ES-2,NA,ES-2,ES-2,ES-2,NA,ES2,ES-2,ES-2,NA,ovary,ovary,NA,NA,Ovary,NA,Ovary,ovary,NA,NA,NA,ovary,ovary,ovary,Ovary,ovary,ES2,ovary
EW8,EW8,NA,EW8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA
EWS502,EWS502,NA,EWS502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA
F-36P,F-36P,NA,F-36P,NA,NA,NA,NA,NA,NA,F-36P,NA,NA,F36P,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
F5,F5,NA,F5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
FTC-238,FTC-238,NA,FTC-238,NA,NA,NA,NA,NA,NA,FTC-238,NA,NA,FTC238,NA,NA,NA,thyroid,NA,NA,NA,NA,NA,NA,thyroid,NA,NA,NA,NA,thyroid,thyroid,NA,NA,FTC238,thyroid
FU-OV-1,FU-OV-1,NA,FU-OV-1,NA,NA,NA,NA,NA,FU-OV-1,FU-OV-1,FU-OV-1,NA,FUOV1,NA,FU-OV-1,NA,ovary,NA,NA,NA,NA,NA,Ovary,ovary,NA,NA,NA,ovary,ovary,ovary,NA,ovary,FUOV1,ovary
FU97,FU97,NA,FU97,NA,NA,NA,FU97,FU97,FU97,FU97,NA,NA,FU97,FU97,FU97,NA,stomach,NA,NA,NA,Stomach,STOMACH,Stomach,stomach,NA,NA,NA,stomach,stomach,stomach,Stomach,stomach,NA,NA
"G-292, clone A141B1","G-292, clone A141B1",NA,"G-292, clone A141B1",NA,NA,NA,NA,NA,G-292-Clone-A141B1,"G-292,_clone_A141B1",G-292_Clone_A141B1,NA,G292CLONEA141B1,NA,G-292 Clone A141B1,NA,bone,NA,NA,NA,NA,NA,Bone,bone,NA,NA,NA,NA,bone,bone,NA,bone,G292CLONEA141B1,NA
GA-10,GA-10,NA,GA-10,GA10,NA,NA,GA-10,NA,GA-10,GA-10,GA-10,NA,GA10,NA,GA-10,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
GLC-82,GLC-82,NA,GLC-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
GOS-3,GOS-3,NA,GOS-3,NA,NA,NA,NA,NA,NA,GOS-3,NA,NA,GOS3,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,GOS3,central_nervous_system
GR-M,GR-M,NA,GR-M,NA,NA,NA,GR-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
GRANTA-519,GRANTA-519,NA,GRANTA-519,NA,NA,NA,GRANTA-519,NA,GRANTA-519,GRANTA-519,GRANTA-519,NA,GRANTA519,GRANTA-519,GRANTA-519,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Lymph Node,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA
GSS,GSS,NA,GSS,NA,NA,NA,NA,NA,NA,GSS,NA,NA,GSS,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,stomach,stomach,NA,NA,NA,NA
GSU,GSU,NA,GSU,NA,NA,NA,NA,NA,NA,GSU,NA,NA,GSU,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,stomach,stomach,NA,NA,NA,NA
HARA,HARA,NA,HARA,NA,NA,NA,NA,HARA,HARA,HARA,HARA,NA,HARA,NA,HARA,NA,lung,NA,NA,NA,NA,LUNG,Lung,breast,NA,NA,NA,breast,breast,lung,NA,breast,HARA,lung
HCC-1171,HCC-1171,NA,HCC-1171,NA,NA,NA,HCC1171,NA,NA,HCC-1171,NA,NA,HCC1171,NA,NA,NA,lung,NA,NA,NA,Lung,NA,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,HCC1171,lung
HCC-1195,HCC-1195,NA,HCC-1195,NA,NA,NA,NA,HCC1195,NA,HCC-1195,NA,NA,HCC1195,NA,NA,NA,lung,NA,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,HCC1195,lung
HCC-1359,HCC-1359,NA,HCC-1359,NA,NA,NA,HCC1359,HCC1359,NA,HCC-1359,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,Lung,LUNG,NA,lung,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HCC-1438,HCC-1438,NA,HCC-1438,NA,NA,NA,NA,NA,NA,HCC-1438,NA,NA,HCC1438,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,HCC1438,lung
HCC-15,HCC-15,NA,HCC-15,NA,NA,NA,HCC-15,HCC15,HCC-15,HCC-15,HCC-15,NA,HCC15,HCC-15,HCC-15,NA,lung,NA,NA,NA,Lung,LUNG,Lung,lung,NA,NA,NA,NA,lung,lung,Lung,lung,HCC15,lung
HCC-1588,HCC-1588,NA,HCC-1588,NA,NA,NA,NA,NA,NA,HCC-1588,NA,NA,HCC1588,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,HCC1588,lung
HCC-1833,HCC-1833,NA,HCC-1833,NA,NA,NA,NA,HCC1833,NA,HCC-1833,NA,NA,HCC1833,NA,NA,NA,lung,NA,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,HCC1833,lung
HCC-1897,HCC-1897,NA,HCC-1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HCC-2108,HCC-2108,NA,HCC-2108,NA,NA,NA,NA,HCC2108,NA,HCC-2108,NA,NA,HCC2108,NA,NA,NA,lung,NA,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,HCC2108,lung
HCC-2279,HCC-2279,NA,HCC-2279,NA,NA,NA,HCC2279,NA,NA,HCC-2279,NA,NA,HCC2279,NA,NA,NA,lung,NA,NA,NA,Lung,NA,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,HCC2279,lung
HCC-2814,HCC-2814,NA,HCC-2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HCC-33,HCC-33,NA,HCC-33,NA,NA,NA,HCC33,HCC33,NA,HCC-33,HCC-33,NA,HCC33,NA,HCC-33,NA,lung,NA,NA,NA,Lung,LUNG,NA,lung,NA,NA,NA,NA,lung,lung,NA,lung,NA,NA
HCC-366,HCC-366,NA,HCC-366,NA,NA,NA,HCC366,NA,HCC-366,HCC-366,HCC-366,NA,HCC366,NA,HCC-366,NA,lung,NA,NA,NA,Lung,NA,Lung,lung,NA,NA,NA,NA,lung,lung,NA,lung,HCC366,lung
